########## 1. M 内部对应对（不含任何研究集端点）##########
[data] N=2241  papers=162
[filter] local-only eligible MSUs: 2241/2241 categories=ALL, min_rank=1
[cand] 3500 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2238/2241 eligible MSUs occur in at least one submitted pair
[judge] 1980/3500  kept=648
[judge] 1990/3500  kept=649
[judge] 2000/3500  kept=652
[judge] 2010/3500  kept=656
[judge] 2020/3500  kept=658
[judge] 2030/3500  kept=661
[judge] 2040/3500  kept=663
[judge] 2050/3500  kept=666
[judge] 2060/3500  kept=670
[judge] 2070/3500  kept=671
[judge] 2080/3500  kept=674
[judge] 2090/3500  kept=678
[judge] 2100/3500  kept=681
[judge] 2110/3500  kept=682
[judge] 2120/3500  kept=685
[judge] 2130/3500  kept=690
[judge] 2140/3500  kept=691
[judge] 2150/3500  kept=694
[judge] 2160/3500  kept=696
[judge] 2170/3500  kept=697
[judge] 2180/3500  kept=699
[judge] 2190/3500  kept=702
[judge] 2200/3500  kept=702
[judge] 2210/3500  kept=706
[judge] 2220/3500  kept=708
[judge] 2230/3500  kept=712
[judge] 2240/3500  kept=717
[judge] 2250/3500  kept=719
[judge] 2260/3500  kept=720
[judge] 2270/3500  kept=723
[judge] 2280/3500  kept=725
[judge] 2290/3500  kept=726
[judge] 2300/3500  kept=730
[judge] 2310/3500  kept=734
[judge] 2320/3500  kept=736
[judge] 2330/3500  kept=739
[judge] 2340/3500  kept=742
[judge] 2350/3500  kept=743
[judge] 2360/3500  kept=744
[judge] 2370/3500  kept=747
[judge] 2380/3500  kept=748
[judge] 2390/3500  kept=751
[judge] 2400/3500  kept=753
[judge] 2410/3500  kept=756
[judge] 2420/3500  kept=760
[judge] 2430/3500  kept=762
[judge] 2440/3500  kept=765
[judge] 2450/3500  kept=768
[judge] 2460/3500  kept=770
[judge] 2470/3500  kept=773
[judge] 2480/3500  kept=776
[judge] 2490/3500  kept=779
[judge] 2500/3500  kept=780
[judge] 2510/3500  kept=782
[judge] 2520/3500  kept=783
[judge] 2530/3500  kept=786
[judge] 2540/3500  kept=787
[judge] 2550/3500  kept=789
[judge] 2560/3500  kept=790
[judge] 2570/3500  kept=792
[judge] 2580/3500  kept=796
[judge] 2590/3500  kept=799
[judge] 2600/3500  kept=801
[judge] 2610/3500  kept=805
[judge] 2620/3500  kept=805
[judge] 2630/3500  kept=805
[judge] 2640/3500  kept=806
[judge] 2650/3500  kept=809
[judge] 2660/3500  kept=811
[judge] 2670/3500  kept=813
[judge] 2680/3500  kept=814
[judge] 2690/3500  kept=816
[judge] 2700/3500  kept=818
[judge] 2710/3500  kept=819
[judge] 2720/3500  kept=819
[judge] 2730/3500  kept=821
[judge] 2740/3500  kept=822
[judge] 2750/3500  kept=826
[judge] 2760/3500  kept=828
[judge] 2770/3500  kept=830
[judge] 2780/3500  kept=833
[judge] 2790/3500  kept=836
[judge] 2800/3500  kept=838
[judge] 2810/3500  kept=840
[judge] 2820/3500  kept=841
[judge] 2830/3500  kept=842
[judge] 2840/3500  kept=845
[judge] 2850/3500  kept=847
[judge] 2860/3500  kept=850
[judge] 2870/3500  kept=852
[judge] 2880/3500  kept=854
[judge] 2890/3500  kept=856
[judge] 2900/3500  kept=857
[judge] 2910/3500  kept=859
[judge] 2920/3500  kept=862
[judge] 2930/3500  kept=863
[judge] 2940/3500  kept=866
[judge] 2950/3500  kept=866
[judge] 2960/3500  kept=868
[judge] 2970/3500  kept=871
[judge] 2980/3500  kept=872
[judge] 2990/3500  kept=873
[judge] 3000/3500  kept=875
[judge] 3010/3500  kept=878
[judge] 3020/3500  kept=880
[judge] 3030/3500  kept=882
[judge] 3040/3500  kept=883
[judge] 3050/3500  kept=885
[judge] 3060/3500  kept=886
[judge] 3070/3500  kept=889
[judge] 3080/3500  kept=891
[judge] 3090/3500  kept=892
[judge] 3100/3500  kept=893
[judge] 3110/3500  kept=894
[judge] 3120/3500  kept=895
[judge] 3130/3500  kept=897
[judge] 3140/3500  kept=898
[judge] 3150/3500  kept=899
[judge] 3160/3500  kept=900
[judge] 3170/3500  kept=903
[judge] 3180/3500  kept=905
[judge] 3190/3500  kept=908
[judge] 3200/3500  kept=910
[judge] 3210/3500  kept=910
[judge] 3220/3500  kept=911
[judge] 3230/3500  kept=913
[judge] 3240/3500  kept=913
[judge] 3250/3500  kept=915
[judge] 3260/3500  kept=916
[judge] 3270/3500  kept=918
[judge] 3280/3500  kept=918
[judge] 3290/3500  kept=919
[judge] 3300/3500  kept=921
[judge] 3310/3500  kept=922
[judge] 3320/3500  kept=923
[judge] 3330/3500  kept=923
[judge] 3340/3500  kept=924
[judge] 3350/3500  kept=927
[judge] 3360/3500  kept=927
[judge] 3370/3500  kept=929
[judge] 3380/3500  kept=931
[judge] 3390/3500  kept=932
[judge] 3400/3500  kept=932
[judge] 3410/3500  kept=933
[judge] 3420/3500  kept=933
[judge] 3430/3500  kept=935
[judge] 3440/3500  kept=935
[judge] 3450/3500  kept=936
[judge] 3460/3500  kept=939
[judge] 3470/3500  kept=940
[judge] 3480/3500  kept=941
[judge] 3490/3500  kept=941
[judge] 3500/3500  kept=941
[pos] 941 positive cross-paper pairs
[save] data/circ_m/stages/02_msu/llm_pairs.json  train_pos=753  test_pos=188
########## 2. 索引偏移到合并坐标系 ##########
  监督对 941  端点范围 [5417, 7655]  最小端点>=5415: True
########## 3. 训练（邻域项覆盖全部 7656 点，InfoNCE 仅 M）##########
#### seed=0 ####
[v11] N=7656 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=941 test(held-out)=0 | pairs meta=positives are M-internal only; no endpoint in the 12 study p
[P] cached -> data/bio_m/stages/05_model/tsne_P_perp30.npy
[P] ready (7656, 7656)
[v11] it 0001/1500 loss=7.9345 trust=0.645 knnOv=0.016 BZrec@12_2d=nan
[v11] it 0100/1500 loss=4.8756 trust=0.865 knnOv=0.159 BZrec@12_2d=nan
[v11] it 0200/1500 loss=4.1987 trust=0.907 knnOv=0.254 BZrec@12_2d=nan
[v11] it 0300/1500 loss=3.8377 trust=0.924 knnOv=0.294 BZrec@12_2d=nan
[v11] it 0400/1500 loss=3.6161 trust=0.932 knnOv=0.317 BZrec@12_2d=nan
[v11] it 0500/1500 loss=3.4466 trust=0.935 knnOv=0.327 BZrec@12_2d=nan
[v11] it 0600/1500 loss=3.3457 trust=0.938 knnOv=0.337 BZrec@12_2d=nan
[v11] it 0700/1500 loss=3.2871 trust=0.938 knnOv=0.337 BZrec@12_2d=nan
[v11] it 0800/1500 loss=3.2624 trust=0.938 knnOv=0.336 BZrec@12_2d=nan
[v11] it 0900/1500 loss=3.1826 trust=0.940 knnOv=0.341 BZrec@12_2d=nan
[v11] it 1000/1500 loss=3.1239 trust=0.940 knnOv=0.343 BZrec@12_2d=nan
[v11] it 1100/1500 loss=3.1031 trust=0.940 knnOv=0.344 BZrec@12_2d=nan
[v11] it 1200/1500 loss=3.0804 trust=0.940 knnOv=0.344 BZrec@12_2d=nan
[v11] it 1300/1500 loss=3.0721 trust=0.941 knnOv=0.345 BZrec@12_2d=nan
