[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 10000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 10/10000  kept=8
[judge] 20/10000  kept=15
[judge] 30/10000  kept=23
[judge] 40/10000  kept=29
[judge] 50/10000  kept=36
[judge] 60/10000  kept=42
[judge] 70/10000  kept=48
[judge] 80/10000  kept=53
[judge] 90/10000  kept=61
[judge] 100/10000  kept=68
[judge] 110/10000  kept=72
[judge] 120/10000  kept=79
[judge] 130/10000  kept=87
[judge] 140/10000  kept=92
[judge] 150/10000  kept=98
[judge] 160/10000  kept=104
[judge] 170/10000  kept=107
[judge] 180/10000  kept=113
[judge] 190/10000  kept=120
[judge] 200/10000  kept=126
[judge] 210/10000  kept=132
[judge] 220/10000  kept=135
[judge] 230/10000  kept=140
[judge] 240/10000  kept=146
[judge] 250/10000  kept=150
[judge] 260/10000  kept=153
[judge] 270/10000  kept=159
[judge] 280/10000  kept=164
[judge] 290/10000  kept=169
[judge] 300/10000  kept=174
[judge] 310/10000  kept=179
[judge] 320/10000  kept=184
[judge] 330/10000  kept=188
[judge] 340/10000  kept=194
[judge] 350/10000  kept=197
[judge] 360/10000  kept=203
[judge] 370/10000  kept=209
[judge] 380/10000  kept=214
[judge] 390/10000  kept=219
[judge] 400/10000  kept=224
[judge] 410/10000  kept=230
[judge] 420/10000  kept=234
[judge] 430/10000  kept=237
[judge] 440/10000  kept=243
[judge] 450/10000  kept=248
[judge] 460/10000  kept=253
[judge] 470/10000  kept=258
[judge] 480/10000  kept=261
[judge] 490/10000  kept=267
[judge] 500/10000  kept=271
[judge] 510/10000  kept=274
[judge] 520/10000  kept=281
[judge] 530/10000  kept=285
[judge] 540/10000  kept=289
[judge] 550/10000  kept=293
[judge] 560/10000  kept=297
[judge] 570/10000  kept=301
[judge] 580/10000  kept=304
[judge] 590/10000  kept=309
[judge] 600/10000  kept=313
[judge] 610/10000  kept=319
[judge] 620/10000  kept=324
[judge] 630/10000  kept=330
[judge] 640/10000  kept=334
[judge] 650/10000  kept=338
[judge] 660/10000  kept=341
[judge] 670/10000  kept=346
[judge] 680/10000  kept=349
[judge] 690/10000  kept=352
[judge] 700/10000  kept=356
[judge] 710/10000  kept=360
[judge] 720/10000  kept=367
[judge] 730/10000  kept=371
[judge] 740/10000  kept=376
[judge] 750/10000  kept=379
[judge] 760/10000  kept=382
[judge] 770/10000  kept=386
[judge] 780/10000  kept=390
[judge] 790/10000  kept=392
[judge] 800/10000  kept=396
[judge] 810/10000  kept=400
[judge] 820/10000  kept=404
[judge] 830/10000  kept=407
[judge] 840/10000  kept=412
[judge] 850/10000  kept=419
[judge] 860/10000  kept=424
[judge] 870/10000  kept=430
[judge] 880/10000  kept=434
[judge] 890/10000  kept=438
[judge] 900/10000  kept=442
[judge] 910/10000  kept=447
[judge] 920/10000  kept=451
[judge] 930/10000  kept=455
[judge] 940/10000  kept=462
[judge] 950/10000  kept=468
[judge] 960/10000  kept=472
[judge] 970/10000  kept=477
[judge] 980/10000  kept=481
[judge] 990/10000  kept=484
[judge] 1000/10000  kept=487
[judge] 1010/10000  kept=489
[judge] 1020/10000  kept=494
[judge] 1030/10000  kept=500
[judge] 1040/10000  kept=505
[judge] 1050/10000  kept=509
[judge] 1060/10000  kept=516
[judge] 1070/10000  kept=519
[judge] 1080/10000  kept=522
[judge] 1090/10000  kept=527
[judge] 1100/10000  kept=531
[judge] 1110/10000  kept=535
[judge] 1120/10000  kept=539
[judge] 1130/10000  kept=544
[judge] 1140/10000  kept=548
[judge] 1150/10000  kept=553
[judge] 1160/10000  kept=558
[judge] 1170/10000  kept=562
[judge] 1180/10000  kept=566
[judge] 1190/10000  kept=569
[judge] 1200/10000  kept=572
[judge] 1210/10000  kept=577
[judge] 1220/10000  kept=581
[judge] 1230/10000  kept=586
[judge] 1240/10000  kept=592
[judge] 1250/10000  kept=596
[judge] 1260/10000  kept=599
[judge] 1270/10000  kept=604
[judge] 1280/10000  kept=608
[judge] 1290/10000  kept=613
