[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 30000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 2000/30000  kept=852
[judge] 2010/30000  kept=855
[judge] 2020/30000  kept=860
[judge] 2030/30000  kept=863
[judge] 2040/30000  kept=866
[judge] 2050/30000  kept=869
[judge] 2060/30000  kept=872
[judge] 2070/30000  kept=875
[judge] 2080/30000  kept=877
[judge] 2090/30000  kept=883
[judge] 2100/30000  kept=887
[judge] 2110/30000  kept=890
[judge] 2120/30000  kept=893
[judge] 2130/30000  kept=895
[judge] 2140/30000  kept=898
[judge] 2150/30000  kept=902
[judge] 2160/30000  kept=906
[judge] 2170/30000  kept=908
[judge] 2180/30000  kept=911
[judge] 2190/30000  kept=916
[judge] 2200/30000  kept=919
[judge] 2210/30000  kept=922
[judge] 2220/30000  kept=926
[judge] 2230/30000  kept=931
[judge] 2240/30000  kept=933
[judge] 2250/30000  kept=937
[judge] 2260/30000  kept=940
[judge] 2270/30000  kept=943
[judge] 2280/30000  kept=948
[judge] 2290/30000  kept=951
[judge] 2300/30000  kept=955
[judge] 2310/30000  kept=958
[judge] 2320/30000  kept=962
[judge] 2330/30000  kept=966
[judge] 2340/30000  kept=970
[judge] 2350/30000  kept=973
[judge] 2360/30000  kept=978
[judge] 2370/30000  kept=984
[judge] 2380/30000  kept=987
[judge] 2390/30000  kept=991
[judge] 2400/30000  kept=995
[judge] 2410/30000  kept=999
[judge] 2420/30000  kept=1004
[judge] 2430/30000  kept=1007
[judge] 2440/30000  kept=1011
[judge] 2450/30000  kept=1015
[judge] 2460/30000  kept=1020
[judge] 2470/30000  kept=1024
[judge] 2480/30000  kept=1027
[judge] 2490/30000  kept=1031
[judge] 2500/30000  kept=1034
[judge] 2510/30000  kept=1037
[judge] 2520/30000  kept=1042
[judge] 2530/30000  kept=1045
[judge] 2540/30000  kept=1050
[judge] 2550/30000  kept=1054
[judge] 2560/30000  kept=1057
[judge] 2570/30000  kept=1059
[judge] 2580/30000  kept=1064
[judge] 2590/30000  kept=1068
[judge] 2600/30000  kept=1073
[judge] 2610/30000  kept=1075
[judge] 2620/30000  kept=1078
[judge] 2630/30000  kept=1081
[judge] 2640/30000  kept=1085
[judge] 2650/30000  kept=1089
[judge] 2660/30000  kept=1093
[judge] 2670/30000  kept=1096
[judge] 2680/30000  kept=1102
[judge] 2690/30000  kept=1105
[judge] 2700/30000  kept=1109
[judge] 2710/30000  kept=1112
[judge] 2720/30000  kept=1116
[judge] 2730/30000  kept=1119
[judge] 2740/30000  kept=1123
[judge] 2750/30000  kept=1125
[judge] 2760/30000  kept=1129
[judge] 2770/30000  kept=1132
[judge] 2780/30000  kept=1136
[judge] 2790/30000  kept=1139
[judge] 2800/30000  kept=1142
[judge] 2810/30000  kept=1146
[judge] 2820/30000  kept=1151
[judge] 2830/30000  kept=1155
[judge] 2840/30000  kept=1159
[judge] 2850/30000  kept=1162
[judge] 2860/30000  kept=1166
[judge] 2870/30000  kept=1168
[judge] 2880/30000  kept=1171
[judge] 2890/30000  kept=1175
[judge] 2900/30000  kept=1178
[judge] 2910/30000  kept=1180
[judge] 2920/30000  kept=1183
[judge] 2930/30000  kept=1186
[judge] 2940/30000  kept=1189
[judge] 2950/30000  kept=1191
[judge] 2960/30000  kept=1194
[judge] 2970/30000  kept=1197
[judge] 2980/30000  kept=1201
[judge] 2990/30000  kept=1206
[judge] 3000/30000  kept=1210
[judge] 3010/30000  kept=1214
[judge] 3020/30000  kept=1218
[judge] 3030/30000  kept=1222
[judge] 3040/30000  kept=1227
[judge] 3050/30000  kept=1230
[judge] 3060/30000  kept=1231
[judge] 3070/30000  kept=1233
[judge] 3080/30000  kept=1237
[judge] 3090/30000  kept=1240
[judge] 3100/30000  kept=1245
[judge] 3110/30000  kept=1249
[judge] 3120/30000  kept=1251
[judge] 3130/30000  kept=1253
[judge] 3140/30000  kept=1258
[judge] 3150/30000  kept=1260
[judge] 3160/30000  kept=1263
[judge] 3170/30000  kept=1266
[judge] 3180/30000  kept=1269
[judge] 3190/30000  kept=1272
[judge] 3200/30000  kept=1275
[judge] 3210/30000  kept=1278
[judge] 3220/30000  kept=1281
[judge] 3230/30000  kept=1285
[judge] 3240/30000  kept=1288
[judge] 3250/30000  kept=1291
[judge] 3260/30000  kept=1294
[judge] 3270/30000  kept=1296
[judge] 3280/30000  kept=1300
[judge] 3290/30000  kept=1304
[judge] 3300/30000  kept=1308
[judge] 3310/30000  kept=1311
[judge] 3320/30000  kept=1315
[judge] 3330/30000  kept=1320
[judge] 3340/30000  kept=1324
[judge] 3350/30000  kept=1326
[judge] 3360/30000  kept=1329
[judge] 3370/30000  kept=1331
[judge] 3380/30000  kept=1334
[judge] 3390/30000  kept=1337
[judge] 3400/30000  kept=1341
[judge] 3410/30000  kept=1344
[judge] 3420/30000  kept=1346
[judge] 3430/30000  kept=1349
[judge] 3440/30000  kept=1352
[judge] 3450/30000  kept=1356
[judge] 3460/30000  kept=1359
[judge] 3470/30000  kept=1363
[judge] 3480/30000  kept=1367
[judge] 3490/30000  kept=1371
[judge] 3500/30000  kept=1374
[judge] 3510/30000  kept=1377
[judge] 3520/30000  kept=1378
[judge] 3530/30000  kept=1381
[judge] 3540/30000  kept=1384
[judge] 3550/30000  kept=1386
[judge] 3560/30000  kept=1389
[judge] 3570/30000  kept=1391
[judge] 3580/30000  kept=1396
[judge] 3590/30000  kept=1399
[judge] 3600/30000  kept=1402
[judge] 3610/30000  kept=1406
