########## 1. 跨论文对应对 ##########
[data] N=2486  papers=107
[filter] local-only eligible MSUs: 2486/2486 categories=ALL, min_rank=1
[cand] 4000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2467/2486 eligible MSUs occur in at least one submitted pair
[judge] 1990/4000  kept=904
[judge] 2000/4000  kept=908
[judge] 2010/4000  kept=912
[judge] 2020/4000  kept=916
[judge] 2030/4000  kept=921
[judge] 2040/4000  kept=925
[judge] 2050/4000  kept=928
[judge] 2060/4000  kept=933
[judge] 2070/4000  kept=936
[judge] 2080/4000  kept=938
[judge] 2090/4000  kept=943
[judge] 2100/4000  kept=948
[judge] 2110/4000  kept=950
[judge] 2120/4000  kept=953
[judge] 2130/4000  kept=958
[judge] 2140/4000  kept=961
[judge] 2150/4000  kept=965
[judge] 2160/4000  kept=967
[judge] 2170/4000  kept=971
[judge] 2180/4000  kept=974
[judge] 2190/4000  kept=977
[judge] 2200/4000  kept=980
[judge] 2210/4000  kept=984
[judge] 2220/4000  kept=989
[judge] 2230/4000  kept=992
[judge] 2240/4000  kept=996
[judge] 2250/4000  kept=999
[judge] 2260/4000  kept=1003
[judge] 2270/4000  kept=1005
[judge] 2280/4000  kept=1009
[judge] 2290/4000  kept=1012
[judge] 2300/4000  kept=1016
[judge] 2310/4000  kept=1020
[judge] 2320/4000  kept=1024
[judge] 2330/4000  kept=1028
[judge] 2340/4000  kept=1031
[judge] 2350/4000  kept=1033
[judge] 2360/4000  kept=1037
[judge] 2370/4000  kept=1040
[judge] 2380/4000  kept=1043
[judge] 2390/4000  kept=1047
[judge] 2400/4000  kept=1051
[judge] 2410/4000  kept=1055
[judge] 2420/4000  kept=1058
[judge] 2430/4000  kept=1060
[judge] 2440/4000  kept=1063
[judge] 2450/4000  kept=1067
[judge] 2460/4000  kept=1070
[judge] 2470/4000  kept=1072
[judge] 2480/4000  kept=1076
[judge] 2490/4000  kept=1081
[judge] 2500/4000  kept=1083
[judge] 2510/4000  kept=1087
[judge] 2520/4000  kept=1090
[judge] 2530/4000  kept=1093
[judge] 2540/4000  kept=1095
[judge] 2550/4000  kept=1099
[judge] 2560/4000  kept=1102
[judge] 2570/4000  kept=1104
[judge] 2580/4000  kept=1109
[judge] 2590/4000  kept=1115
[judge] 2600/4000  kept=1120
[judge] 2610/4000  kept=1123
[judge] 2620/4000  kept=1127
[judge] 2630/4000  kept=1130
[judge] 2640/4000  kept=1133
[judge] 2650/4000  kept=1138
[judge] 2660/4000  kept=1140
[judge] 2670/4000  kept=1145
[judge] 2680/4000  kept=1148
[judge] 2690/4000  kept=1150
[judge] 2700/4000  kept=1155
[judge] 2710/4000  kept=1159
[judge] 2720/4000  kept=1163
[judge] 2730/4000  kept=1167
[judge] 2740/4000  kept=1172
[judge] 2750/4000  kept=1175
[judge] 2760/4000  kept=1178
[judge] 2770/4000  kept=1182
[judge] 2780/4000  kept=1186
[judge] 2790/4000  kept=1187
[judge] 2800/4000  kept=1190
[judge] 2810/4000  kept=1193
[judge] 2820/4000  kept=1197
[judge] 2830/4000  kept=1200
[judge] 2840/4000  kept=1202
[judge] 2850/4000  kept=1205
[judge] 2860/4000  kept=1209
[judge] 2870/4000  kept=1212
[judge] 2880/4000  kept=1214
[judge] 2890/4000  kept=1218
[judge] 2900/4000  kept=1221
[judge] 2910/4000  kept=1224
[judge] 2920/4000  kept=1226
[judge] 2930/4000  kept=1229
[judge] 2940/4000  kept=1232
[judge] 2950/4000  kept=1237
[judge] 2960/4000  kept=1240
[judge] 2970/4000  kept=1244
[judge] 2980/4000  kept=1247
[judge] 2990/4000  kept=1250
[judge] 3000/4000  kept=1254
[judge] 3010/4000  kept=1256
[judge] 3020/4000  kept=1259
[judge] 3030/4000  kept=1261
[judge] 3040/4000  kept=1263
[judge] 3050/4000  kept=1268
[judge] 3060/4000  kept=1272
[judge] 3070/4000  kept=1276
[judge] 3080/4000  kept=1280
[judge] 3090/4000  kept=1285
[judge] 3100/4000  kept=1288
[judge] 3110/4000  kept=1289
[judge] 3120/4000  kept=1291
[judge] 3130/4000  kept=1294
[judge] 3140/4000  kept=1296
[judge] 3150/4000  kept=1299
[judge] 3160/4000  kept=1302
[judge] 3170/4000  kept=1306
[judge] 3180/4000  kept=1308
[judge] 3190/4000  kept=1311
[judge] 3200/4000  kept=1315
[judge] 3210/4000  kept=1315
[judge] 3220/4000  kept=1316
[judge] 3230/4000  kept=1319
[judge] 3240/4000  kept=1323
[judge] 3250/4000  kept=1325
[judge] 3260/4000  kept=1328
[judge] 3270/4000  kept=1329
[judge] 3280/4000  kept=1330
[judge] 3290/4000  kept=1331
[judge] 3300/4000  kept=1335
[judge] 3310/4000  kept=1338
[judge] 3320/4000  kept=1343
[judge] 3330/4000  kept=1346
[judge] 3340/4000  kept=1350
[judge] 3350/4000  kept=1351
[judge] 3360/4000  kept=1354
[judge] 3370/4000  kept=1358
[judge] 3380/4000  kept=1360
[judge] 3390/4000  kept=1362
[judge] 3400/4000  kept=1364
[judge] 3410/4000  kept=1368
[judge] 3420/4000  kept=1370
[judge] 3430/4000  kept=1373
[judge] 3440/4000  kept=1377
[judge] 3450/4000  kept=1379
[judge] 3460/4000  kept=1382
[judge] 3470/4000  kept=1386
[judge] 3480/4000  kept=1389
[judge] 3490/4000  kept=1392
[judge] 3500/4000  kept=1396
[judge] 3510/4000  kept=1399
[judge] 3520/4000  kept=1402
[judge] 3530/4000  kept=1405
[judge] 3540/4000  kept=1407
[judge] 3550/4000  kept=1409
[judge] 3560/4000  kept=1411
[judge] 3570/4000  kept=1413
[judge] 3580/4000  kept=1415
[judge] 3590/4000  kept=1417
[judge] 3600/4000  kept=1420
[judge] 3610/4000  kept=1420
[judge] 3620/4000  kept=1423
[judge] 3630/4000  kept=1425
[judge] 3640/4000  kept=1428
[judge] 3650/4000  kept=1430
[judge] 3660/4000  kept=1432
[judge] 3670/4000  kept=1435
[judge] 3680/4000  kept=1437
[judge] 3690/4000  kept=1439
[judge] 3700/4000  kept=1441
[judge] 3710/4000  kept=1444
[judge] 3720/4000  kept=1447
[judge] 3730/4000  kept=1451
[judge] 3740/4000  kept=1455
[judge] 3750/4000  kept=1457
[judge] 3760/4000  kept=1459
[judge] 3770/4000  kept=1461
[judge] 3780/4000  kept=1463
[judge] 3790/4000  kept=1466
[judge] 3800/4000  kept=1468
[judge] 3810/4000  kept=1470
[judge] 3820/4000  kept=1472
[judge] 3830/4000  kept=1473
[judge] 3840/4000  kept=1476
[judge] 3850/4000  kept=1477
[judge] 3860/4000  kept=1478
[judge] 3870/4000  kept=1479
[judge] 3880/4000  kept=1480
[judge] 3890/4000  kept=1482
[judge] 3900/4000  kept=1484
[judge] 3910/4000  kept=1486
[judge] 3920/4000  kept=1486
[judge] 3930/4000  kept=1487
[judge] 3940/4000  kept=1489
[judge] 3950/4000  kept=1490
[judge] 3960/4000  kept=1491
[judge] 3970/4000  kept=1492
[judge] 3980/4000  kept=1494
[judge] 3990/4000  kept=1497
[judge] 4000/4000  kept=1498
[pos] 1498 positive cross-paper pairs
[save] data/survey_agent/stages/02_msu/llm_pairs.json  train_pos=1199  test_pos=299
########## 2. 训练 ##########
#### lambda_con=0.3 seed=0 ####
[v11] N=2486 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=1199 test(held-out)=299 | pairs meta=pairs are ROW indices into EMB_CACHE; positives are cross-pa
[P] cached -> data/survey_agent/stages/05_model/tsne_P_perp30.npy
[P] ready (2486, 2486)
[v11] it 0001/1500 loss=6.4648 trust=0.645 knnOv=0.030 BZrec@12_2d=0.037
[v11] it 0100/1500 loss=3.8440 trust=0.871 knnOv=0.252 BZrec@12_2d=0.298
[v11] it 0200/1500 loss=3.4692 trust=0.898 knnOv=0.315 BZrec@12_2d=0.371
[v11] it 0300/1500 loss=3.2392 trust=0.905 knnOv=0.334 BZrec@12_2d=0.395
[v11] it 0400/1500 loss=3.0922 trust=0.908 knnOv=0.338 BZrec@12_2d=0.425
[v11] it 0500/1500 loss=3.0171 trust=0.910 knnOv=0.342 BZrec@12_2d=0.418
[v11] it 0600/1500 loss=2.9464 trust=0.911 knnOv=0.343 BZrec@12_2d=0.428
[v11] it 0700/1500 loss=2.9039 trust=0.910 knnOv=0.344 BZrec@12_2d=0.431
[v11] it 0800/1500 loss=2.8750 trust=0.909 knnOv=0.343 BZrec@12_2d=0.438
[v11] it 0900/1500 loss=2.8526 trust=0.910 knnOv=0.343 BZrec@12_2d=0.435
[v11] it 1000/1500 loss=2.8302 trust=0.910 knnOv=0.344 BZrec@12_2d=0.431
[v11] it 1100/1500 loss=2.8152 trust=0.909 knnOv=0.343 BZrec@12_2d=0.435
[v11] it 1200/1500 loss=2.8081 trust=0.910 knnOv=0.344 BZrec@12_2d=0.435
[v11] it 1300/1500 loss=2.8055 trust=0.909 knnOv=0.344 BZrec@12_2d=0.431
[v11] it 1400/1500 loss=2.8024 trust=0.909 knnOv=0.344 BZrec@12_2d=0.438
[v11] it 1500/1500 loss=2.8070 trust=0.909 knnOv=0.344 BZrec@12_2d=0.435

[v11] FINAL trust=0.909 knnOv=0.344 {'n': 299, 'bz_recall@12_2d': 0.43478260869565216, 'bz_recall@12_highD': 0.9096989966555183}
[save] data/survey_agent/stages/05_model/v11_agent_lam0.3_s0.pt
#### lambda_con=0.3 seed=1 ####
[v11] N=2486 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=1199 test(held-out)=299 | pairs meta=pairs are ROW indices into EMB_CACHE; positives are cross-pa
[P] loaded cache data/survey_agent/stages/05_model/tsne_P_perp30.npy
[P] ready (2486, 2486)
[v11] it 0001/1500 loss=6.4672 trust=0.639 knnOv=0.030 BZrec@12_2d=0.067
[v11] it 0100/1500 loss=3.8374 trust=0.880 knnOv=0.259 BZrec@12_2d=0.344
[v11] it 0200/1500 loss=3.4128 trust=0.903 knnOv=0.317 BZrec@12_2d=0.391
[v11] it 0300/1500 loss=3.2216 trust=0.909 knnOv=0.333 BZrec@12_2d=0.431
[v11] it 0400/1500 loss=3.0871 trust=0.912 knnOv=0.339 BZrec@12_2d=0.435
[v11] it 0500/1500 loss=3.0258 trust=0.912 knnOv=0.342 BZrec@12_2d=0.431
[v11] it 0600/1500 loss=2.9496 trust=0.912 knnOv=0.344 BZrec@12_2d=0.445
[v11] it 0700/1500 loss=2.9179 trust=0.913 knnOv=0.343 BZrec@12_2d=0.435
[v11] it 0800/1500 loss=2.8933 trust=0.913 knnOv=0.342 BZrec@12_2d=0.445
