[data] N=1770  papers=73
[filter] local-only eligible MSUs: 1770/1770 categories=ALL, min_rank=1
[cand] 3000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 1768/1770 eligible MSUs occur in at least one submitted pair
[judge] 2000/3000  kept=831
[judge] 2010/3000  kept=833
[judge] 2020/3000  kept=836
[judge] 2030/3000  kept=840
[judge] 2040/3000  kept=843
[judge] 2050/3000  kept=846
[judge] 2060/3000  kept=849
[judge] 2070/3000  kept=853
[judge] 2080/3000  kept=856
[judge] 2090/3000  kept=861
[judge] 2100/3000  kept=864
[judge] 2110/3000  kept=865
[judge] 2120/3000  kept=868
[judge] 2130/3000  kept=870
[judge] 2140/3000  kept=874
[judge] 2150/3000  kept=880
[judge] 2160/3000  kept=884
[judge] 2170/3000  kept=886
[judge] 2180/3000  kept=888
[judge] 2190/3000  kept=892
[judge] 2200/3000  kept=893
[judge] 2210/3000  kept=897
[judge] 2220/3000  kept=900
[judge] 2230/3000  kept=904
[judge] 2240/3000  kept=907
[judge] 2250/3000  kept=911
[judge] 2260/3000  kept=911
[judge] 2270/3000  kept=914
[judge] 2280/3000  kept=918
[judge] 2290/3000  kept=921
[judge] 2300/3000  kept=923
[judge] 2310/3000  kept=926
[judge] 2320/3000  kept=929
[judge] 2330/3000  kept=931
[judge] 2340/3000  kept=935
[judge] 2350/3000  kept=938
[judge] 2360/3000  kept=942
[judge] 2370/3000  kept=944
[judge] 2380/3000  kept=947
[judge] 2390/3000  kept=950
[judge] 2400/3000  kept=952
[judge] 2410/3000  kept=953
[judge] 2420/3000  kept=955
[judge] 2430/3000  kept=958
[judge] 2440/3000  kept=960
[judge] 2450/3000  kept=963
[judge] 2460/3000  kept=965
[judge] 2470/3000  kept=968
[judge] 2480/3000  kept=970
[judge] 2490/3000  kept=971
[judge] 2500/3000  kept=972
[judge] 2510/3000  kept=974
[judge] 2520/3000  kept=976
[judge] 2530/3000  kept=979
[judge] 2540/3000  kept=980
[judge] 2550/3000  kept=982
[judge] 2560/3000  kept=982
[judge] 2570/3000  kept=984
[judge] 2580/3000  kept=987
[judge] 2590/3000  kept=991
[judge] 2600/3000  kept=994
[judge] 2610/3000  kept=998
[judge] 2620/3000  kept=1001
[judge] 2630/3000  kept=1002
[judge] 2640/3000  kept=1005
[judge] 2650/3000  kept=1008
[judge] 2660/3000  kept=1010
[judge] 2670/3000  kept=1014
[judge] 2680/3000  kept=1017
[judge] 2690/3000  kept=1020
[judge] 2700/3000  kept=1023
[judge] 2710/3000  kept=1023
[judge] 2720/3000  kept=1026
[judge] 2730/3000  kept=1028
[judge] 2740/3000  kept=1030
[judge] 2750/3000  kept=1032
[judge] 2760/3000  kept=1033
[judge] 2770/3000  kept=1034
[judge] 2780/3000  kept=1035
[judge] 2790/3000  kept=1037
[judge] 2800/3000  kept=1038
[judge] 2810/3000  kept=1040
[judge] 2820/3000  kept=1043
