PSESVD10	tool	Interactive microbial genome visualization with GView	Bioinformatics	2010
RCK12	tool	SpliceSeq: a resource for analysis and visualization of RNA-Seq data on alternative splicing and its functional impacts	Bioinformatics	2012
RRG16	tool	deepTools2: a next generation web server for deep-sequencing data analysis	Nucleic Acids Research	2016
RTD18	tool	Juicebox.js Provides a Cloud-Based Visualization System for Hi-C Data	Cell Systems	2018
RTRBH12	tool	SpliceGrapher: detecting patterns of alternative splicing from RNA-Seq data in the context of gene models and EST data	Genome Biology	2012
SAB16	tool	Vials: Visualizing Alternative Splicing of Genes	IEEE TVCG	2016
SM07	tool	Cinteny: flexible analysis and visualization of synteny and genome rearrangements in multiple organisms	BMC Bioinformatics	2007
SS90	tool	Sequence logos: a new way to display consensus sequences	Nucleic Acids Research	1990
STK16	tool	ALVIS: interactive non-aggregative visualization and explorative analysis of multiple sequence alignments	Nucleic Acids Research	2016
SW05	tool	Circular genome visualization and exploration using CGView	Bioinformatics	2005
TRM13	tool	Integrative Genomics Viewer (IGV): high-performance genomics data visualization and exploration	Briefings in Bioinformatics	2013
VIR06	tool	Two Sample Logo: a graphical representation of the differences between two sets of sequence alignments	Bioinformatics	2006
WBN18	tool	Galaxy HiCExplorer: a web server for reproducible Hi-C data analysis quality control and visualization	Nucleic Acids Research	2018
WKP17	tool	WebMeV: A Cloud Platform for Analyzing and Visualizing Cancer Genomic Data	Cancer Research	2017
WNM14	tool	SplicePlot: a utility for visualizing splicing quantitative trait loci	Bioinformatics	2014
WPM09	tool	Jalview Version 2--a multiple sequence alignment editor and analysis workbench	Bioinformatics	2009
WSZ18	tool	The 3D Genome Browser: a web-based browser for visualizing 3D genome organization and long-range chromatin interactions	Genome Biology	2018
YCL12	tool	ggbio: an R package for extending the grammar of graphics for genomic data	Genome Biology	2012
YWR16	tool	MSAViewer: interactive JavaScript visualization of multiple sequence alignments	Bioinformatics	2016
ZMX11	tool	The Human Epigenome Browser at Washington University	Nature Methods	2011
